candidate_id,requisition_id,first_name,last_name,experience_years,status
CAND00001,REQ02164,Susan,Price,3.5,Rejected
CAND00002,REQ11185,Donald,Brown,0.1,Interviewing
CAND00003,REQ20685,Jennifer,Moore,2.4,Rejected
CAND00004,REQ19417,Jason,Hayden,9.4,Rejected
CAND00005,REQ24404,Dana,Ingram,2.4,Rejected
CAND00006,REQ03176,Hannah,Williams,0.2,Rejected
CAND00007,REQ02973,Alan,Perez,19.6,Rejected
CAND00008,REQ19498,Felicia,Griffin,17.8,Rejected
CAND00009,REQ05231,Renee,Wright,14.6,Rejected
CAND00010,REQ02751,Jonathan,Riley,12.6,Rejected
CAND00011,REQ17975,John,Payne,15.4,Rejected
CAND00012,REQ17728,Tammy,Mcmahon,14.9,Rejected
CAND00013,REQ06894,Kyle,Smith,17.6,Rejected
CAND00014,REQ07469,Janice,Morse,7.9,Rejected
CAND00015,REQ07541,Amanda,Rocha,11.0,Rejected
CAND00016,REQ22814,Megan,Cooper,1.7,Rejected
CAND00017,REQ01084,Alexis,Brown,14.4,Rejected
CAND00018,REQ15176,Melissa,Arroyo,19.5,Rejected
CAND00019,REQ24379,Sharon,Brewer,13.9,Rejected
CAND00020,REQ13816,Bethany,Cunningham,12.5,Rejected
CAND00021,REQ11881,James,Hall,11.9,Hired
CAND00022,REQ24223,Karen,Kirby,2.3,Rejected
CAND00023,REQ00701,Brett,Morgan,9.8,Rejected
CAND00024,REQ11453,Karen,Johnston,14.6,Rejected
CAND00025,REQ05864,Molly,Pugh,4.8,Hired
CAND00026,REQ13390,Whitney,Wilkinson,0.3,Rejected
CAND00027,REQ14923,Jasmin,Williamson,8.4,Rejected
CAND00028,REQ20995,Amanda,Rodriguez,0.2,Rejected
CAND00029,REQ19602,Jessica,Stevens,5.2,Rejected
CAND00030,REQ08372,Amanda,Riddle,6.8,Rejected
CAND00031,REQ14332,Michael,Perez,3.3,Rejected
CAND00032,REQ14563,John,Brown,12.8,Rejected
CAND00033,REQ21853,Benjamin,Miller,5.8,Rejected
CAND00034,REQ11303,Jennifer,Johnson,12.6,Interviewing
CAND00035,REQ14366,Sabrina,Jackson,5.7,Hired
CAND00036,REQ04943,Marisa,Mccormick,2.6,Rejected
CAND00037,REQ16315,Lisa,Kent,19.9,Rejected
CAND00038,REQ14658,Carmen,Cohen,0.7,Rejected
CAND00039,REQ01967,Pedro,Nunez,18.5,Rejected
CAND00040,REQ15749,Aaron,Sellers,8.7,Rejected
CAND00041,REQ04845,Andrea,Perez,8.7,Rejected
CAND00042,REQ17014,Jason,Jones,9.1,Interviewing
CAND00043,REQ22594,Veronica,Martinez,1.6,Rejected
CAND00044,REQ04705,Debra,Vaughn,15.7,Rejected
CAND00045,REQ20767,Bradley,Martin,9.2,Interviewing
CAND00046,REQ11770,Matthew,Gillespie,8.0,Rejected
CAND00047,REQ18511,Michael,Reynolds,9.9,Interviewing
CAND00048,REQ13062,Nicholas,Gonzalez,1.0,Rejected
CAND00049,REQ20066,Charles,May,15.0,Rejected
CAND00050,REQ04114,William,Johnson,13.6,Rejected
CAND00051,REQ13939,Paul,Miller,10.1,Rejected
CAND00052,REQ18325,Jenna,Lee,3.2,Rejected
CAND00053,REQ09394,Beth,Hayes,9.1,Rejected
CAND00054,REQ09453,Patrick,Lopez,13.8,Rejected
CAND00055,REQ12083,Kelly,Salas,14.3,Offer Extended
CAND00056,REQ17918,Melanie,Lucas,3.2,Rejected
