employee_id,first_name,last_name,gender,age,department_id,job_title,employment_type,experience_years,joining_date,salary,bonus,manager_id,location,country,performance,training_hours,manager_rating,project_count,certification_count,status,readiness_score,leadership_score,technical_score,business_score,skill_gap_score,promotion_probability,attrition_probability,engagement_score,promotion_target,attrition_target,learning_priority
EMP00001,Teresa,Sanchez,Female,22,D003,Ranger/warden,Full-Time,5.3,2021-04-14,114246.57,10465.98,EMP09991,South Chelsea,Western Sahara,3.6,106,3.0,5,4,Exited,61.42,56.89,91.54,69.09,37.35,59.15,88.68,1.8,0,1,Medium
EMP00002,Barbara,Leonard,Male,29,D020,Cytogeneticist,Part-Time,9.7,2026-01-04,113804.19,17539.92,EMP09992,New Deborah,Cote d'Ivoire,2.4,1,2.5,13,0,Active,41.93,44.29,65.64,65.53,60.35,43.11,35.03,4.9,0,0,Low
EMP00003,Bradley,Myers,Female,35,D003,Psychotherapist,Full-Time,15.1,2025-04-15,124142.34,15347.2,EMP09993,Rebeccashire,Barbados,3.4,36,3.6,2,3,Active,68.17,60.76,75.55,65.34,26.15,64.47,5.79,4.9,0,0,High
EMP00004,Bryan,Garrett,Female,23,D016,Media planner,Full-Time,2.3,2026-01-20,107606.11,11838.49,EMP09994,Port Wendy,Uzbekistan,3.6,49,3.2,2,4,Active,43.46,48.93,78.51,49.38,53.82,46.19,21.26,4.1,0,0,Low
EMP00005,Kayla,Frazier,Male,33,D003,Hydrographic surveyor,Full-Time,14.1,2026-04-20,95424.33,527.61,EMP09995,Port Ivan,Martinique,3.8,15,3.3,14,0,Active,64.31,76.22,97.73,57.87,37.51,70.26,19.6,4.9,0,0,Medium
EMP00006,Juan,Ramos,Female,38,D018,Health and safety adviser,Full-Time,15.0,2026-04-25,138064.23,8431.28,EMP09996,Lucashaven,Vietnam,3.7,65,4.5,4,2,Active,76.97,100.0,73.46,50.11,23.28,88.49,19.05,4.4,1,0,Low
EMP00007,Juan,Hughes,Male,32,D007,Curator,Full-Time,8.7,2019-03-23,72169.06,10822.95,EMP09997,West Ronaldstad,Thailand,3.4,84,3.1,8,4,Exited,64.33,69.32,74.71,53.84,42.89,66.82,78.89,2.2,0,1,Low
EMP00008,Timothy,Petersen,Male,34,D017,Dietitian,Full-Time,15.6,2018-03-12,107079.09,14708.6,EMP09998,New Levi,Norway,4.8,25,5.0,6,2,Active,83.46,100.0,61.51,74.07,8.1,91.73,23.65,3.7,1,0,Low
EMP00009,Laurie,Chen,Female,40,D001,"Accountant, chartered public finance",Full-Time,17.7,2017-03-26,137956.9,26340.91,EMP09999,Lawrenceberg,Saint Barthelemy,3.6,11,4.2,14,1,Active,77.66,77.56,71.51,67.75,26.98,77.61,27.3,4.2,1,0,Medium
EMP00010,Andrew,Harris,Female,27,D007,Plant breeder/geneticist,Full-Time,5.2,2024-06-03,87942.24,12206.22,EMP10000,Port Grant,North Macedonia,4.3,90,3.9,6,4,Active,78.43,60.65,75.75,61.2,26.84,69.54,27.78,3.6,0,0,Medium
EMP00011,Joseph,Sanchez,Male,29,D017,Camera operator,Contract,9.3,2022-08-22,96031.29,1534.75,EMP00001,Jacksonport,Equatorial Guinea,4.0,44,4.8,5,0,Active,66.0,95.07,67.73,56.66,37.2,80.53,39.82,4.1,1,0,Medium
EMP00012,Monica,Hernandez,Male,29,D005,"Surveyor, building",Full-Time,8.6,2019-04-01,88216.85,5834.76,EMP00002,Garcialand,French Guiana,3.1,78,3.3,3,4,Exited,69.05,59.21,91.53,56.11,37.16,64.13,75.59,2.8,0,1,Medium
EMP00013,Jimmy,Sutton,Male,26,D016,Medical illustrator,Full-Time,8.7,2018-12-12,111630.75,3947.42,EMP00003,Ryanburgh,Tunisia,5.0,107,5.0,7,4,Active,91.95,89.22,64.61,73.13,10.12,90.59,30.85,4.6,1,0,High
EMP00014,Shane,Martinez,Male,37,D017,Architect,Full-Time,18.4,2021-02-05,105679.18,19958.97,EMP00004,North Lisa,Gambia,4.6,104,4.4,3,4,Active,100.0,84.05,90.66,56.62,0.0,92.02,35.94,4.4,1,0,Medium
EMP00015,Aaron,Kelly,Female,42,D006,Patent examiner,Full-Time,15.3,2022-11-01,96704.81,8559.94,EMP00005,Jimeneztown,Romania,3.6,62,3.3,14,1,Active,78.78,89.59,79.98,87.03,29.13,84.19,12.89,3.6,1,0,Medium
EMP00016,Debra,Moore,Female,25,D010,Training and development officer,Full-Time,2.2,2026-06-30,96480.29,11510.94,EMP00006,Lake Barbarafurt,Somalia,3.2,38,2.1,4,0,Exited,49.67,61.24,61.28,66.96,53.56,55.46,98.67,2.5,0,1,Medium
EMP00017,Morgan,Melton,Male,40,D017,"Doctor, hospital",Full-Time,19.1,2020-11-03,113101.28,9934.03,EMP00007,Johnsonland,Iceland,3.2,1,3.2,1,1,Exited,65.89,70.39,46.45,50.51,25.89,68.14,83.62,1.2,0,1,Low
EMP00018,Mary,Gray,Male,40,D020,"Therapist, nutritional",Full-Time,16.0,2020-07-21,107777.13,8533.13,EMP00008,Janeland,Netherlands Antilles,4.4,74,4.3,2,1,Active,84.64,98.07,62.3,75.06,5.96,91.36,11.53,4.9,1,0,High
EMP00019,Ryan,Reid,Female,39,D013,Software engineer,Full-Time,11.7,2020-12-13,78388.25,5404.76,EMP00009,New Paige,Armenia,3.0,24,2.5,10,4,Exited,55.64,55.67,50.64,78.68,52.23,55.66,83.0,2.2,0,1,Low
EMP00020,Stephanie,Le,Female,29,D016,"Psychologist, sport and exercise",Full-Time,7.0,2021-09-13,120824.29,22157.26,EMP00010,West Kennethville,French Southern Territories,4.0,86,4.3,7,3,Active,72.4,70.9,69.0,65.2,29.08,71.65,9.59,3.4,0,0,Low
EMP00021,Tracy,Holland,Male,29,D013,Exhibition designer,Full-Time,9.9,2018-02-26,124801.21,22892.27,EMP00011,North Vanessa,Malaysia,3.0,50,4.2,14,4,Exited,56.92,77.47,82.62,55.53,40.97,67.19,79.98,2.2,0,1,Medium
